account_id,user_id,balance,type
1,1,5399.77,savings
2,2,39448.1,checking
3,3,3695.81,savings
4,4,6978.13,checking
5,4,1773.57,checking
6,5,3443.31,savings
7,5,153695.92,savings
8,5,17292.13,savings
9,6,12662.71,savings
10,6,2695.73,savings
11,6,3155.94,checking
12,7,9957.96,checking
13,7,7588.88,savings
14,8,1538.93,checking
15,8,4250.79,checking
16,8,38040.05,savings
17,9,14941.47,savings
18,9,1893.55,savings
19,9,4548.4,checking
20,10,167.28,checking
21,10,4605.55,checking
22,10,2969.76,savings
23,11,23442.69,savings
24,11,2549.67,savings
25,11,7297.93,checking
26,12,3273.88,savings
27,12,6415.97,checking
28,13,16037.17,savings
29,14,8897.54,checking
30,14,23614.27,savings
31,14,173737.46,savings
32,15,1355.05,savings
33,15,35029.86,checking
34,15,21178.1,savings
35,16,4241.82,savings
36,16,4095.63,checking
37,16,9336.98,checking
38,17,4030.41,checking
39,17,1799.5,checking
40,18,4033.14,savings
41,18,10845.03,savings
42,18,1824.05,checking
43,19,3275.4,checking
44,19,17301.36,savings
45,20,4414.62,savings
46,20,156082.24,savings
47,21,25189.14,checking
48,21,8802.7,savings
49,21,24774.21,savings
50,22,11544.17,savings
51,22,9801.44,checking
52,23,17486.32,savings
53,23,15862.21,savings
54,24,9568.81,checking
55,24,1415.64,savings
56,25,17656.95,savings
57,26,841.66,savings
58,27,23354.06,checking
59,27,10410.78,savings
60,27,18844.09,savings
61,28,3830.86,checking
62,28,5917.31,checking
63,28,7070.74,checking
64,29,4125.04,savings
65,29,3181.67,savings
66,29,22216.69,checking
67,30,23387.77,savings
68,30,18018.73,savings
69,31,4266.01,checking
70,32,56982.57,savings
71,32,2430.16,checking
72,33,7780.93,checking
73,34,6326.8,checking
74,35,2976.5,checking
75,35,3999.04,savings
76,36,22076.95,savings
77,36,44285.49,checking
78,36,2323.88,checking
79,37,9874.94,checking
80,38,1020.24,checking
81,38,8246.41,checking
82,38,2652.74,checking
83,39,17595.76,savings
84,39,6219.81,checking
85,39,20100.08,savings
86,40,33570.56,checking
87,41,3620.64,savings
88,42,150307.31,savings
